,Date_Time,Location,Model,Label,Actual,Predict,Score
204,2023-03-18 18:00:00,COR,MLP,Max_PM25_EWMA,18.0,15.62,9.65
205,2023-03-19 06:00:00,COR,MLP,Max_PM25_EWMA,15.0,19.57,9.65
206,2023-03-19 18:00:00,COR,MLP,Max_PM25_EWMA,11.0,15.05,9.65
207,2023-03-20 06:00:00,COR,MLP,Max_PM25_EWMA,9.0,19.61,9.65
208,2023-03-20 18:00:00,COR,MLP,Max_PM25_EWMA,18.0,22.19,9.65
209,2023-03-21 06:00:00,COR,MLP,Max_PM25_EWMA,28.0,22.94,9.65
210,2023-03-21 18:00:00,COR,MLP,Max_PM25_EWMA,32.0,31.27,9.65
211,2023-03-22 06:00:00,COR,MLP,Max_PM25_EWMA,43.0,33.48,9.65
212,2023-03-22 18:00:00,COR,MLP,Max_PM25_EWMA,26.0,27.3,9.65
213,2023-03-23 06:00:00,COR,MLP,Max_PM25_EWMA,42.0,34.66,9.65
214,2023-03-23 18:00:00,COR,MLP,Max_PM25_EWMA,34.0,30.48,9.65
215,2023-03-24 06:00:00,COR,MLP,Max_PM25_EWMA,37.0,34.79,9.65
216,2023-03-24 18:00:00,COR,MLP,Max_PM25_EWMA,32.0,36.36,9.65
217,2023-03-25 06:00:00,COR,MLP,Max_PM25_EWMA,30.0,35.79,9.65
218,2023-03-25 18:00:00,COR,MLP,Max_PM25_EWMA,38.0,34.41,9.65
219,2023-03-26 06:00:00,COR,MLP,Max_PM25_EWMA,31.0,33.54,9.65
220,2023-03-26 18:00:00,COR,MLP,Max_PM25_EWMA,30.0,35.54,9.65
221,2023-03-27 06:00:00,COR,MLP,Max_PM25_EWMA,53.0,33.48,9.65
222,2023-03-27 18:00:00,COR,MLP,Max_PM25_EWMA,33.0,35.41,9.65
223,2023-03-28 06:00:00,COR,MLP,Max_PM25_EWMA,45.0,36.07,9.65
224,2023-03-28 18:00:00,COR,MLP,Max_PM25_EWMA,45.0,23.62,9.65
225,2023-03-29 06:00:00,COR,MLP,Max_PM25_EWMA,28.0,35.86,9.65
226,2023-03-29 18:00:00,COR,MLP,Max_PM25_EWMA,32.0,32.35,9.65
227,2023-03-30 06:00:00,COR,MLP,Max_PM25_EWMA,36.0,33.04,9.65
228,2023-03-30 18:00:00,COR,MLP,Max_PM25_EWMA,44.0,30.41,9.65
229,2023-03-31 06:00:00,COR,MLP,Max_PM25_EWMA,36.0,37.08,9.65
230,2023-03-31 18:00:00,COR,MLP,Max_PM25_EWMA,37.0,36.58,9.65
231,2023-04-01 06:00:00,COR,MLP,Max_PM25_EWMA,34.0,33.26,9.65
232,2023-04-01 18:00:00,COR,MLP,Max_PM25_EWMA,41.0,25.74,9.65
233,2023-04-02 06:00:00,COR,MLP,Max_PM25_EWMA,28.0,34.96,9.65
234,2023-04-02 18:00:00,COR,MLP,Max_PM25_EWMA,41.0,35.29,9.65
235,2023-04-03 06:00:00,COR,MLP,Max_PM25_EWMA,50.0,34.86,9.65
236,2023-04-03 18:00:00,COR,MLP,Max_PM25_EWMA,36.0,35.72,9.65
237,2023-04-04 06:00:00,COR,MLP,Max_PM25_EWMA,38.0,33.64,9.65
238,2023-04-04 18:00:00,COR,MLP,Max_PM25_EWMA,40.0,34.3,9.65
239,2023-04-05 06:00:00,COR,MLP,Max_PM25_EWMA,54.0,35.33,9.65
240,2023-04-05 18:00:00,COR,MLP,Max_PM25_EWMA,40.0,32.27,9.65
241,2023-04-06 06:00:00,COR,MLP,Max_PM25_EWMA,45.0,36.87,9.65
242,2023-04-06 18:00:00,COR,MLP,Max_PM25_EWMA,48.0,32.08,9.65
243,2023-04-07 06:00:00,COR,MLP,Max_PM25_EWMA,12.0,33.85,9.65
244,2023-04-07 18:00:00,COR,MLP,Max_PM25_EWMA,22.0,26.83,9.65
245,2023-04-08 06:00:00,COR,MLP,Max_PM25_EWMA,19.0,20.87,9.65
246,2023-04-08 18:00:00,COR,MLP,Max_PM25_EWMA,18.0,26.54,9.65
247,2023-04-09 06:00:00,COR,MLP,Max_PM25_EWMA,14.0,20.78,9.65
248,2023-04-09 18:00:00,COR,MLP,Max_PM25_EWMA,19.0,14.19,9.65
249,2023-04-10 06:00:00,COR,MLP,Max_PM25_EWMA,19.0,15.31,9.65
250,2023-04-10 18:00:00,COR,MLP,Max_PM25_EWMA,21.0,14.83,9.65
251,2023-04-11 06:00:00,COR,MLP,Max_PM25_EWMA,7.0,17.33,9.65
252,2023-03-11 06:00:00,COR,SVM,Min_PM25_EWMA,16.0,13.66,4.72
253,2023-03-11 18:00:00,COR,SVM,Min_PM25_EWMA,16.0,10.06,4.72
254,2023-03-12 06:00:00,COR,SVM,Min_PM25_EWMA,6.0,13.18,4.72
255,2023-03-12 18:00:00,COR,SVM,Min_PM25_EWMA,11.0,12.01,4.72
256,2023-03-13 06:00:00,COR,SVM,Min_PM25_EWMA,10.0,10.11,4.72
257,2023-03-13 18:00:00,COR,SVM,Min_PM25_EWMA,12.0,7.81,4.72
258,2023-03-14 06:00:00,COR,SVM,Min_PM25_EWMA,12.0,9.65,4.72
259,2023-03-14 18:00:00,COR,SVM,Min_PM25_EWMA,14.0,8.04,4.72
260,2023-03-15 06:00:00,COR,SVM,Min_PM25_EWMA,11.0,6.97,4.72
261,2023-03-15 18:00:00,COR,SVM,Min_PM25_EWMA,9.0,8.47,4.72
262,2023-03-16 06:00:00,COR,SVM,Min_PM25_EWMA,5.0,14.89,4.72
263,2023-03-16 18:00:00,COR,SVM,Min_PM25_EWMA,7.0,8.73,4.72
264,2023-03-17 06:00:00,COR,SVM,Min_PM25_EWMA,7.0,7.75,4.72
265,2023-03-17 18:00:00,COR,SVM,Min_PM25_EWMA,10.0,7.85,4.72
266,2023-03-18 06:00:00,COR,SVM,Min_PM25_EWMA,6.0,7.0,4.72
267,2023-03-18 18:00:00,COR,SVM,Min_PM25_EWMA,10.0,6.93,4.72
268,2023-03-19 06:00:00,COR,SVM,Min_PM25_EWMA,7.0,6.11,4.72
